ID,artist_names,artist_ids,release_date,release_date_precision
2sxuNmWee0zv0Ac84ip6Wa,"Johann Sebastian Bach,New Century Saxophone Quartet","5aIqB5nVVvmFsvSdExz408,0ZWswriMRVVkiBi1oZDXfS",2009-04-21,day
2DY9zsqTBxMDBoKuQcqPeM,"Johann Sebastian Bach,New Century Saxophone Quartet","5aIqB5nVVvmFsvSdExz408,0ZWswriMRVVkiBi1oZDXfS",2009-04-21,day
2FvVasEl4agzzXuN3qG0F6,"Franck Bedrossian,Quatuor Habanera","0XM4WYpNyBSt6e9Eys906n,2VQ1XiyyHZtLKBKpC6Gp7R",2013-04-01,day
7pCKqK4pbQTlcVjn8tMUPw,"Claude Delangle,Luciano Berio,Vincent David,Ensemble Quaerendo Invenietis,Renaud Déjardin","1DQh1xDEYOgutveWq3WsFc,5M1ZBrPeHjV8y3qFKnq7hO,3A0Jf5NHkdcdYa7IG1Zgzt,6KdDLmkf5WPA3CPLUyZ1UA,7GhNvlzUnRZr0DUHl4YlSr",2013-04-01,day
7iUqqhSrIteubEzhONsukk,"Anonymous,Pierre Boulez,Vincent David,Erwan Fagant,Nicolas Miribel","4kCZ5nyurc9eIqLJfUcW0Y,2prZJWfQMnIgwUKxKcBxH7,3A0Jf5NHkdcdYa7IG1Zgzt,2fCOjcGeGb4w1Q3scED7Te,0EkjY3652PiLgOat7IgwHg",2013-04-01,day
3VycGYbk8plCK5lyg1n16v,"Anonymous,Pierre Boulez,Vincent David,Erwan Fagant,Nicolas Miribel","4kCZ5nyurc9eIqLJfUcW0Y,2prZJWfQMnIgwUKxKcBxH7,3A0Jf5NHkdcdYa7IG1Zgzt,2fCOjcGeGb4w1Q3scED7Te,0EkjY3652PiLgOat7IgwHg",2013-04-01,day
78nFtRL1byALxMBnxr2tyC,"Anonymous,Pierre Boulez,Vincent David,Erwan Fagant,Nicolas Miribel","4kCZ5nyurc9eIqLJfUcW0Y,2prZJWfQMnIgwUKxKcBxH7,3A0Jf5NHkdcdYa7IG1Zgzt,2fCOjcGeGb4w1Q3scED7Te,0EkjY3652PiLgOat7IgwHg",2013-04-01,day
2VWwx7HHgT8OvRgM0v5aig,"Anonymous,Pierre Boulez,Vincent David,Erwan Fagant,Nicolas Miribel","4kCZ5nyurc9eIqLJfUcW0Y,2prZJWfQMnIgwUKxKcBxH7,3A0Jf5NHkdcdYa7IG1Zgzt,2fCOjcGeGb4w1Q3scED7Te,0EkjY3652PiLgOat7IgwHg",2013-04-01,day
0WVsHtcAzHbj9yyXNjPTo3,"Anonymous,Pierre Boulez,Vincent David,Erwan Fagant,Nicolas Miribel","4kCZ5nyurc9eIqLJfUcW0Y,2prZJWfQMnIgwUKxKcBxH7,3A0Jf5NHkdcdYa7IG1Zgzt,2fCOjcGeGb4w1Q3scED7Te,0EkjY3652PiLgOat7IgwHg",2013-04-01,day
4oodKTtSJZZLJPG5zOK9Ie,"Vincent David,Pierre Boulez","3A0Jf5NHkdcdYa7IG1Zgzt,2prZJWfQMnIgwUKxKcBxH7",2013-04-01,day
3h5mEswPPzXhJGkBGxICUi,"Anonymous,Pierre Boulez,Vincent David,Erwan Fagant,Nicolas Miribel","4kCZ5nyurc9eIqLJfUcW0Y,2prZJWfQMnIgwUKxKcBxH7,3A0Jf5NHkdcdYa7IG1Zgzt,2fCOjcGeGb4w1Q3scED7Te,0EkjY3652PiLgOat7IgwHg",2013-04-01,day
4qDVXnMQsE9kkZZu1Ojo6q,"Anonymous,Pierre Boulez,Vincent David,Erwan Fagant,Nicolas Miribel","4kCZ5nyurc9eIqLJfUcW0Y,2prZJWfQMnIgwUKxKcBxH7,3A0Jf5NHkdcdYa7IG1Zgzt,2fCOjcGeGb4w1Q3scED7Te,0EkjY3652PiLgOat7IgwHg",2013-04-01,day
0idNNpbozQ0OmabFuhRVW6,"Anonymous,Pierre Boulez,Vincent David,Erwan Fagant,Nicolas Miribel","4kCZ5nyurc9eIqLJfUcW0Y,2prZJWfQMnIgwUKxKcBxH7,3A0Jf5NHkdcdYa7IG1Zgzt,2fCOjcGeGb4w1Q3scED7Te,0EkjY3652PiLgOat7IgwHg",2013-04-01,day
2Cm0hvVgkAxlhMvGQ6F6ES,"Anonymous,Pierre Boulez,Vincent David,Erwan Fagant,Nicolas Miribel","4kCZ5nyurc9eIqLJfUcW0Y,2prZJWfQMnIgwUKxKcBxH7,3A0Jf5NHkdcdYa7IG1Zgzt,2fCOjcGeGb4w1Q3scED7Te,0EkjY3652PiLgOat7IgwHg",2013-04-01,day
7akTH4QwHgJ5n3ID5Lou7T,"Anonymous,Pierre Boulez,Vincent David,Erwan Fagant,Nicolas Miribel","4kCZ5nyurc9eIqLJfUcW0Y,2prZJWfQMnIgwUKxKcBxH7,3A0Jf5NHkdcdYa7IG1Zgzt,2fCOjcGeGb4w1Q3scED7Te,0EkjY3652PiLgOat7IgwHg",2013-04-01,day
